通巻	区分	番号	氏名	題名	開始頁	終了頁	備考
number	section	order	name	title	start_page	end_page	remarks
1		1	豊田 實	卷頭の辭			旧字体：卷頭の辭→巻頭の辞
1		2	豊田 實	ムジナモの葉の形態的観察と其運動様相	1	8	編輯後記の誤記訂正により、本文中の題名のムヂナモはムジナモの誤記。
1		3	田村 道子	創刊號發行にあたり	8		旧字体：創刊號發行→創刊号発行
1		4	大瀧 末男	新春を迎えての愚感	9	11	
1		5	常泉 敏明	入會に際して	11		旧字体：會→会
1		6	小笠原 英明	核遺傳學に於ける面白い事實	12		旧字体：核遺傳學→核遺伝学、事實→事実、本文に合わせ訂正した：核遺傳子→核遺傳學
1		7	久保田 美夫	學名について	13	14	旧字体：學→学、本文中では「學名に就て」
1		8	新木 東男	食蟲植物研究會にのぞみて	14		旧字体：食蟲植物研究會→食虫植物研究会
1		9	志方 欽二	食蟲植物の分類と分布の概略について	15	20	旧字体：蟲→虫
1		10	齋藤 常夫	ムジナモの分布について	21	24	記載のまま：齋藤→斉藤、本文中では「ムジナモの分布に就て」
1		11	岩村 志朗	尾瀬	24		
1		12	平塚 請司	モウセンゴケについて	25	30	「請」は旧字体（青が靑）だが、Unicodeでは同一コードに割り振られている。
1		13	小宮 定志	モウセンゴケに於ける毛茸体の運動と内部的變化の考察について	31	43	旧字体：變→変、本文中では「モウセンゴケの毛茸体の運動に関する生理的考察」
1		14	久保田 美夫	交配種の思ひ出	42	43	頁数が不正。42～3と印刷されている。本文中では「交配種の思出」
1		15	杉山 義命	コモウセンゴケの冬芽	43	45	本本及び連絡委員の記載に合わせ訂正した：義明→義命、本文中では「コモウセンゴケ(D. SPathulate Labill)の冬芽」
1		16	坂井 一郎	植物と蟲との生存競争	45		旧字体：蟲→虫
1		17	福地 弘貞	サラセニアについて	46	48	記載のまま：福地→福地、本文中では「Sarraceniaceae について」
1		18	岩村 志朗	食蟲植物研究會の足跡	49	50	旧字体：食蟲植物研究會→食虫植物研究会
