巻(Vol)	号(No)	通巻号数	発行年	月	特集	表紙の説明１	表紙の説明２	裏表紙	備考
1	1	1	1950	1		ムジナモの花と葉輪擴大圖		ムジナモの花式圖	旧字体：擴大圖→拡大図、花式圖→花式図。通巻102号まで巻号表示はないが、63巻2号（通巻219号）の「会からのお知らせ – 食虫植物研究会々誌の保存処置について」により、102号以前にも巻号を表記した。
1	2	2	1950	5		コウシンソウの全形（牧野博士原図）		コウシンソウの花式図	
1	3	3	1950	7		ハイトリグサ Dionaea muscipula Ellis の全形と葉の拡大図		ハイトリグサの花式図	記載のまま：ハイトリグサ→ハエトリグサ
1	4	4	1950	11	創立一週年記念	ヘイシソウの全形（Asa Gray 氏原図）		ヘイシソウの花式図	記載のまま：週→周、ヘイシソウ→サラセニア。PDF版ではヘイシソウの花式図を確認できない。
2	1	5	1951	1		コウツボカヅラの全形 Nepenthes gracilis Korth.		コウツボカヅラの花式図	記載のまま：ウツボカヅラ→ウツボカズラ
2	2	6	1951	3		フクロユキノシタの全形 Cephalotus follicularis Labill		フクロユキノシタの花式図	
2	3	7	1951	7		ナガバノイシモチソウの全形及び花 Drosera indica L.		ナガバノイシモチソウの花式図	グラビア：Byblis gigantea Lindl.
2	4	8	1951	10	創立二週年記念	ミミカキグサの花と捕虫嚢及び吸収毛		ミミカキグサの花式図	記載のまま：週→周、目次の頁では創立二週年記念號
3	1	9	1952	1		Drosera cistiflora L の全形（高さを縮めた自然丈）			L. DIELS : Droseraceae (Das PflanzenReich) より小宮訳の説明あり。誤記を訂正：cistiflor→cistiflora。
3	2	10	1952	4		Utricularia Sandersonii Oliv.	 [in Journ Linn. Soc. ix .p. 155; stapf in Thiselton-Dyer, Flora Capensis, iv. p. 431]		Hooker's Icones Plantarum (Fourth Series) 1905. vol. VIII PLATE 2794, B より転写。小宮定志訳の説明あり。
3	3	11	1952	7		Heliamphora nutans Benth. キツネノメシガイソウ	［Das Pflanzenreich 'Sarraceniaceae' より］全形×1/3、雄蕊×5、雌蕊×2、子房断面×4		訂正した：Heiiamphora→Heliamphora
3	4	12	1952	11	創立三週年記念号	Utricularia campbellianum OLIVER.			記載のまま：週→周、表紙では「三週年記念号」。奥付の表記「創立三週年記念号」に合わせた。
4	1	13	1953	2		Drosera caledonica Vieill			荒木訳の説明あり。
4	2	14	1953	5		ムシトリノキ．Roridula dentata L. [Gen Pl. ed. 6. (1764) 567]	植物体上部（実物大）；雄蕊；雌蕊並びに横断面 L. Diels ; Roridulaceae. in Naturlichen Pflanzenfamilien. Ba. 18a. 1930.		小宮氏の説明あり。誤：MEY.30,1953→MAY.30,1953
4	3	15	1953	12		ヒメミミカキグサ Calpidisca nipponica (Makino) comb. nov. Syn. Utricularia nipponica Makino [B.M.T.20:95(1906)]			（小宮原図）
5	1	16	1954	6		- Lentibulariaceae - - Pinguicula Lasitanica Linn -			-< Sowerby's English Botany >- （葛谷）。？：Lasitanica→lusitanica
6	1	17	1956	4		Drosera pygmaea DC. Prodr. 1(1824)317 - D. pusilla R. Br. Gen. Drosera - Subgen. Rorella - Sect. Bryastrum			Pflanzenreich より。訂正した：I(1824)317→1(1824)317。1955年には発行されず、1956年に発行された。
7	1	18	1956	12		Drosera schizandra Diel. Pflanzenreich (1906) - D. Adelae F. Muell. var. latior F. Muell. Gen. Drosera - Subgen. Rorella - Sect. Arachinopus			？：Sect. Arachinopus
8	1	19	1957	6		Byblis Salisbury, Parad. Lond. (1808) t. 95. (Drosanthus R. Br. ex Planchon in Ann. sc. nat. 3 sér. IX.(1848)305; Drosophorus R. Br. l. c, 306)			
9	1	20	1958	3		Cephalotus follicularis LABILL.	山川氏によって初めて輸入されました。（山川氏撮影）		本号から表紙の体裁を変更。表紙裏側に写真を入れる。
10	1	21	1959	2		Roridula gorgonias PLANCHON ［アフリカ・Kapland原産］	3年前越川氏が初めて輸入されました。（越川氏撮影）		誤りを訂正した：Poridula→Roridula
10	2	22	1959	9	創立10周年記念	Dionaea muscipula erecta の全形。（山川氏撮影）			
11	1	23	1960	2					
11	2	24	1960	6					
11	3	25	1960	12					
12	1	26	1961	5					
12	2	27	1961	11					
13	1	28	1962	7					
13	2	29	1962	11					
14	1	30	1963	4					
14	2	31	1963	10					
15	1	32	1964	5					
15	2	33	1964	10					
16	1	34	1965	4					
16	2	35	1965	10					
17	1	36	1966	4					
17	2	37	1966	6					
17	3	38	1966	10					
18	1	39	1967	1					
18	2	40	1967	4					
18	3	41	1967	6					
18	4	42	1967	10					
19	1	43	1968	1					
